20pF	2	"C8 C9"
100nF	5	"C3 C4 C5 C6 C7"
10uF	2	"C1 C2"
RED	1	"D1"
GREEN	2	"D2 D3"
BLUE	2	"D4 D5"
SWD	1	"P1"
GPS	1	"P2"
SUPPLY	1	"P3"
COLOR_1	1	"P4"
COLOR_2	1	"P5"
MOTOR 1	1	"P6"
MOTOR 2	1	"P7"
BLUETOOTH	1	"P8"
GND	1	"P9"
0R	1	"R6"
330R	2	"R2 R3"
510R	1	"R8"
660R	3	"R1 R4 R5"
100K	1	"R7"
SW_PUSH_4PIN	1	"SW1"
STM32F100RB	1	"U3"
TB6612	1	"U2"
LD1117DT33	1	"U1"
8M	1	"X1"
